대여일시,대여건수
2022.1.1,"29,185"
2022.1.2,"28,914"
2022.1.3,"53,573"
2022.1.4,"56,344"
2022.1.5,"57,413"
2022.1.6,"59,714"
2022.1.7,"60,422"
2022.1.8,"45,366"
2022.1.9,"38,304"
2022.1.10,"58,706"
2022.1.11,"39,715"
2022.1.12,"45,304"
2022.1.13,"43,881"
2022.1.14,"50,087"
2022.1.15,"41,820"
2022.1.16,"32,433"
2022.1.17,"36,605"
2022.1.18,"46,018"
2022.1.19,"27,105"
2022.1.20,"41,568"
2022.1.21,"51,219"
2022.1.22,"44,304"
2022.1.23,"41,704"
2022.1.24,"63,894"
2022.1.25,"47,991"
2022.1.26,"63,246"
2022.1.27,"59,413"
2022.1.28,"56,150"
2022.1.29,"38,024"
2022.1.30,"31,891"
2022.1.31,"29,553"
2022.2.1,"14,212"
2022.2.2,"28,743"
2022.2.3,"46,840"
2022.2.4,"45,787"
2022.2.5,"31,339"
2022.2.6,"31,079"
2022.2.7,"52,453"
2022.2.8,"58,927"
2022.2.9,"62,895"
2022.2.10,"64,927"
2022.2.11,"67,004"
2022.2.12,"58,539"
2022.2.13,"52,389"
2022.2.14,"46,767"
2022.2.15,"47,756"
2022.2.16,"42,522"
2022.2.17,"46,195"
2022.2.18,"56,957"
2022.2.19,"39,653"
2022.2.20,"30,847"
2022.2.21,"48,680"
2022.2.22,"48,398"
2022.2.23,"47,234"
2022.2.24,"53,734"
2022.2.25,"61,573"
2022.2.26,"38,403"
2022.2.27,"52,957"
2022.2.28,"72,542"
2022.3.1,"49,748"
2022.3.2,"70,625"
2022.3.3,"77,700"
2022.3.4,"72,968"
2022.3.5,"55,988"
2022.3.6,"53,875"
2022.3.7,"72,078"
2022.3.8,"81,170"
2022.3.9,"88,625"
2022.3.10,"86,435"
2022.3.11,"97,284"
2022.3.12,"80,704"
2022.3.13,"37,571"
2022.3.14,"48,377"
2022.3.15,"90,277"
2022.3.16,"98,151"
2022.3.17,"76,285"
2022.3.18,"77,855"
2022.3.19,"33,486"
2022.3.20,"67,396"
2022.3.21,"84,756"
2022.3.22,"96,050"
2022.3.23,"86,793"
2022.3.24,"94,936"
2022.3.25,"80,415"
2022.3.26,"61,907"
2022.3.27,"86,816"
2022.3.28,"104,291"
2022.3.29,"112,845"
2022.3.30,"87,831"
2022.3.31,"110,528"
2022.4.1,"117,334"
2022.4.2,"107,302"
2022.4.3,"111,356"
2022.4.4,"117,648"
2022.4.5,"122,858"
2022.4.6,"127,811"
2022.4.7,"126,797"
2022.4.8,"143,545"
2022.4.9,"148,007"
2022.4.10,"150,889"
2022.4.11,"151,754"
2022.4.12,"119,002"
2022.4.13,"92,089"
2022.4.14,"122,654"
2022.4.15,"141,286"
2022.4.16,"134,241"
2022.4.17,"129,927"
2022.4.18,"139,226"
2022.4.19,"144,447"
2022.4.20,"148,079"
2022.4.21,"149,044"
2022.4.22,"129,271"
2022.4.23,"146,570"
2022.4.24,"133,084"
2022.4.25,"129,831"
2022.4.26,"152,367"
2022.4.27,"156,150"
2022.4.28,"157,045"
2022.4.29,"115,321"
2022.4.30,"125,572"
2022.5.1,"123,804"
2022.5.2,"155,868"
2022.5.3,"161,630"
2022.5.4,"169,370"
2022.5.5,"161,574"
2022.5.6,"167,589"
2022.5.7,"143,370"
2022.5.8,"83,449"
2022.5.9,"165,624"
2022.5.10,"171,961"
2022.5.11,"172,189"
2022.5.12,"173,717"
2022.5.13,"173,872"
2022.5.14,"147,975"
2022.5.15,"146,364"
2022.5.16,"170,018"
2022.5.17,"174,664"
2022.5.18,"147,831"
2022.5.19,"171,349"
2022.5.20,"177,475"
2022.5.21,"158,972"
2022.5.22,"149,211"
2022.5.23,"169,251"
2022.5.24,"176,941"
2022.5.25,"134,187"
2022.5.26,"172,688"
2022.5.27,"183,674"
2022.5.28,"164,366"
2022.5.29,"148,794"
2022.5.30,"161,538"
2022.5.31,"183,522"
2022.6.1,"171,655"
2022.6.2,"177,588"
2022.6.3,"180,769"
2022.6.4,"157,500"
2022.6.5,"126,415"
2022.6.6,"136,660"
2022.6.7,"179,409"
2022.6.8,"182,892"
2022.6.9,"150,820"
2022.6.10,"155,223"
2022.6.11,"160,120"
2022.6.12,"143,466"
2022.6.13,"169,956"
2022.6.14,"166,700"
2022.6.15,"73,488"
2022.6.16,"159,975"
2022.6.17,"181,393"
2022.6.18,"153,139"
2022.6.19,"143,464"
2022.6.20,"181,066"
2022.6.21,"178,590"
2022.6.22,"182,183"
2022.6.23,"54,576"
2022.6.24,"152,178"
2022.6.25,"146,769"
2022.6.26,"122,474"
2022.6.27,"94,761"
2022.6.28,"112,003"
2022.6.29,"52,664"
2022.6.30,"8,796"
