대여일시,대여건수,,,,
2022.7.1," 157,478 ",,,,
2022.7.2," 131,815 ",,,,
2022.7.3," 114,470 ",,,,
2022.7.4," 151,497 ",,,,
2022.7.5," 149,259 ",,,,
2022.7.6," 142,649 ",,,,
2022.7.7," 116,854 ",,,,
2022.7.8," 150,313 ",,,,
2022.7.9," 134,633 ",,,,
2022.7.10," 110,494 ",,,,
2022.7.11," 146,165 ",,,,
2022.7.12," 167,309 ",,,,
2022.7.13," 21,922 ",,,,
2022.7.14," 152,774 ",,,,
2022.7.15," 167,144 ",,,,
2022.7.16," 110,506 ",,,,
2022.7.17," 128,631 ",,,,
2022.7.18," 166,820 ",,,,
2022.7.19," 168,900 ",,,,
2022.7.20," 145,087 ",,,,
2022.7.21," 112,449 ",,,,
2022.7.22," 153,209 ",,,,
2022.7.23," 79,826 ",,,,
2022.7.24," 113,217 ",,,,
2022.7.25," 145,899 ",,,,
2022.7.26," 160,600 ",,,,
2022.7.27," 161,296 ",,,,
2022.7.28," 155,345 ",,,,
2022.7.29," 147,170 ",,,,
2022.7.30," 107,582 ",,,,
2022.7.31," 29,814 ",,,,
2022.8.1," 108,030 ",,,,
2022.8.2," 57,524 ",,,,
2022.8.3," 102,130 ",,,,
2022.8.4," 148,807 ",,,,
2022.8.5," 145,855 ",,,,
2022.8.6," 106,406 ",,,,
2022.8.7," 97,939 ",,,,
2022.8.8," 21,616 ",,,,
2022.8.9, 482 ,,,,
2022.8.10," 108,151 ",,,,
2022.8.11," 108,359 ",,,,
2022.8.12," 147,097 ",,,,
2022.8.13," 82,347 ",,,,
2022.8.14," 87,778 ",,,,
2022.8.15," 83,889 ",,,,
2022.8.16," 154,263 ",,,,
2022.8.17," 157,994 ",,,,
2022.8.18," 162,179 ",,,,
2022.8.19," 83,749 ",,,,
2022.8.20," 124,465 ",,,,
2022.8.21," 122,389 ",,,,
2022.8.22," 146,073 ",,,,
2022.8.23," 152,206 ",,,,
2022.8.24," 174,857 ",,,,
2022.8.25," 135,159 ",,,,
2022.8.26," 177,282 ",,,,
2022.8.27," 173,160 ",,,,
2022.8.28," 160,420 ",,,,
2022.8.29," 108,867 ",,,,
2022.8.30," 16,813 ",,,,
2022.8.31," 164,301 ",,,,
2022.9.1," 179,336 ",,,,
2022.9.2," 187,990 ",,,,
2022.9.3," 170,688 ",,,,
2022.9.4," 39,346 ",,,,
2022.9.5," 5,208 ",,,,
2022.9.6," 142,342 ",,,,
2022.9.7," 179,905 ",,,,
2022.9.8," 183,813 ",,,,
2022.9.9," 123,214 ",,,,
2022.9.10," 108,686 ",,,,
2022.9.11," 107,761 ",,,,
2022.9.12," 151,839 ",,,,
2022.9.13," 167,657 ",,,,
2022.9.14," 179,633 ",,,,
2022.9.15," 184,021 ",,,,
2022.9.16," 132,178 ",,,,
2022.9.17," 147,264 ",,,,
2022.9.18," 146,847 ",,,,
2022.9.19," 183,189 ",,,,
2022.9.20," 191,649 ",,,,
2022.9.21," 191,553 ",,,,
2022.9.22," 189,285 ",,,,
2022.9.23," 178,981 ",,,,
2022.9.24," 176,719 ",,,,
2022.9.25," 162,743 ",,,,
2022.9.26," 187,571 ",,,,
2022.9.27," 190,672 ",,,,
2022.9.28," 191,600 ",,,,
2022.9.29," 186,204 ",,,,
2022.9.30," 192,638 ",,,,
2022.10.1," 167,146 ",,,,
2022.10.2," 74,506 ",,,,
2022.10.3," 10,809 ",,,,
2022.10.4," 146,100 ",,,,
2022.10.5," 179,824 ",,,,
2022.10.6," 169,381 ",,,,
2022.10.7," 181,964 ",,,,
